NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA,Date,Rate
Downtown Brooklyn,Brooklyn,2062,"1, 24, 18, 19, 21, 17",Yes,2024-08-28,62500000,23164,338.14,Corner,C6-4,,,,DB,,10.0,402709,155,2024-08-28,5.25
Downtown Brooklyn,Brooklyn,167,8,No,2024-08-20,3125000,1424,19.96,Interior,C6-4 ,,,,DB,,10.0,14240,219,2024-08-20,5.25
Bedford-Stuyvesant,Brooklyn,1737,42,No,2024-08-16,4575000,4375,137.5,Corner,R7D,C2-4 ,,,,MIH,5.6,18338,249,2024-08-16,5.25
Maspeth,Queens,2557,30,No,2024-08-16,65000000,40037,398.0,Corner,M2-1,,,,,,2.0,42858,420,2024-08-16,5.25
Cobble Hill,Brooklyn,284,1,No,2024-08-16,18000000,33108,230.0,Interior,R6,,,,,,2.43,140512,463,2024-08-16,5.25
Bushwick,Brooklyn,3210,"16, 17, 18, 19, 20, 21",Yes,2024-08-15,1225000,15000,150.0,Interior,M1-5/R7D,,,,MX-22,MIH,5.6,84000,83,2024-08-15,5.25
Pelham Bay,The Bronx,4197,"28, 129",Yes,2024-08-15,7000000,3218,123.0,Corner,R7-1,,,,,,4.0,12872,95,2024-08-15,5.25
Hunts Point,The Bronx,2771,219,No,2024-08-15,3500000,14300,243.0,Corner,M3-1,,,,,,2.0,28600,122,2024-08-15,5.25
Bronxdale,The Bronx,4286,40,No,2024-08-12,7905000,12678,201.63,Corner,C4-4,,,,,,4.0,102106,77,2024-08-12,5.25
East New York,Brooklyn,4167,25,No,2024-08-07,4250000,11390,243.92,Corner,R7A,C2-4,,,,MIH,4.6,52394,81,2024-08-07,5.25
Chelsea,Manhattan,767,67,No,2024-08-05,10500000,4650,49.98,Interior,C6-2A,,,,,,6.02,35679,294,2024-08-05,5.25
Prospect Lefferts Gardens,Brooklyn,5057,76,No,2024-08-02,10500000,23500,192.58,Interior,R6,,,,,,2.2,51700,203,2024-08-02,5.25
Prospect Heights,Brooklyn,1153,"5, 19",Yes,2024-08-02,11650000,18318,110.83,Interior,R6B,,,,,,2.0,36636,318,2024-08-02,5.25
Williamsburg,Brooklyn,3102,17,No,2024-08-01,4200000,5000,50.0,Interior,M1-2,,,,,,2.0,10000,130,2024-08-01,5.25
Williamsburg,Brooklyn,2736,14,No,2024-08-01,1300000,4688,45.0,Interior,M1-2/R6B,,,,MX-8 ,VIH,2.0,9384,448,2024-08-01,5.25
Jamaica,Queens,10044,"5, 6, 3",Yes,2024-07-31,174100000,13750,125.0,Interior,R4-1,,,,,,0.75,11550,148,2024-07-31,5.25
Greenpoint,Brooklyn,"2567, 2570","1, 36",Yes,2024-07-31,4000000,356520,1315.0,Interior,R6 ,R8,C2-4 ,,,VIH,,1040344,167,2024-07-31,5.25
Gowanus,Brooklyn,465,112,No,2024-07-31,1705000,7400,80.0,Through,M1-4,,,,G,,2.0,14800,270,2024-07-31,5.25
Downtown Flushing,Queens,4950,25,No,2024-07-31,1300000,3000,24.0,Interior,M1-1,,,,,,1.0,3000,433,2024-07-31,5.25
East Village,Manhattan,382,22,No,2024-07-30,15800000,60505,792.5,Corner,R7-2,,,,,,,219701,105,2024-07-30,5.25
Inwood,Manhattan,2201,21,No,2024-07-30,23000000,19983,399.83,Corner,R8A ,C2-4,,,IN ,MIH,7.2,143878,110,2024-07-30,5.25
Canarsie,Brooklyn,8214,45,No,2024-07-29,1230000,9000,190.0,Corner,R5B,,,,,,1.35,12150,101,2024-07-29,5.25
Williamsburg,Brooklyn,2779,6,No,2024-07-29,5010000,5150,50.0,Interior,R6B ,,,,,VIH,2.0,10300,486,2024-07-29,5.25
Port Morris,The Bronx,2261,3,No,2024-07-25,3200000,10000,200.0,Corner,M1-2/R6A,,,,MX-1,,3.0,30000,107,2024-07-25,5.25
Morrisania,The Bronx,2388,"59, 61",Yes,2024-07-18,9550000,19253,73.12,Interior,M1-1/R7-2 ,M1-1,,,MX-7,,3.44,66230,51,2024-07-18,5.25
Morrisania,The Bronx,2388,"69, 68, 67, 64, 71",Yes,2024-07-18,3345000,20061,314.91,Corner,M1-1/R7-2,,,,MX-7,,,117204,81,2024-07-18,5.25
Williamsburg,Brooklyn,3102,"7, 6, 9, 8",Yes,2024-07-17,3750000,10000,200.0,Corner,M1-2,,,,,,2.0,20000,188,2024-07-17,5.25
Financial District,Manhattan,53,37,No,2024-07-15,15250000,4664,49.92,Interior,C6-9,,,,LM,,15.0,69960,218,2024-07-15,5.25
Yorkville,Manhattan,1529,"8, 7",Yes,2024-07-11,11750000,7236,70.83,Interior,R8B,,,,,,4.0,28944,406,2024-07-11,5.25
Washington Heights,Manhattan,2170,383,No,2024-07-09,8000000,13000,260.0,Interior,R7-2,,,,,,3.44,44720,179,2024-07-09,5.25
Clinton Hill,Brooklyn,1893,57,No,2024-07-09,2788425,2500,25.0,Interior,R7A,C2-4,,,,VIH,3.45,11103,251,2024-07-09,5.25
Bedford-Stuyvesant,Brooklyn,1898,"37, 38",Yes,2024-07-08,4825000,3256,39.58,Interior,M1-4/R6A,,,,MX-4,MIH,3.6,9703,497,2024-07-08,5.25
Morrisania,The Bronx,2663,"28, 27",Yes,2024-07-05,2200000,6500,52.0,Interior,R6,C1-4,,,,,,23937,92,2024-07-05,5.25
Harlem,Manhattan,1929,23,No,2024-07-03,1875000,2523,25.0,Interior,R7A,,,,,,4.0,9971,188,2024-07-03,5.25
Williamsburg,Brooklyn,2455,34,No,2024-07-03,5000000,3591,124.0,Corner,C4-3,,,,,,3.4,14006,357,2024-07-03,5.25
Tremont,The Bronx,2923,"31, 35, 135",Yes,2024-07-01,7500000,14148,135.91,Interior,M1-4/R7X ,,,,MX-14,VIH,3.75,53055,141,2024-07-01,5.25
Red Hook,Brooklyn,556,"23, 22",Yes,2024-06-28,2800000,4000,40.0,Interior,R5,,,,,,1.25,4891,215,2024-06-28,5.25
Red Hook,Brooklyn,545,"24,27, 25, 26",Yes,2024-06-28,1050000,6706,102.75,Corner,R5 ,C1-3,,,,,1.25,8383,334,2024-06-28,5.25
Morris Heights,The Bronx,2865,134,No,2024-06-27,14126316,30879,434.25,Corner,R8A,,,,J ,MIH,7.2,198722,71,2024-06-27,5.25
Fordham,The Bronx,3156,7,No,2024-06-27,3000000,6854,68.86,Interior,R8,,,,C ,,6.02,41261,76,2024-06-27,5.25
Fort Greene,Brooklyn,2111,45,No,2024-06-27,3151964,16447,265.0,Corner,C6-4 ,,,,DB,,12.0,197364,76,2024-06-27,5.25
Prospect Heights,Brooklyn,1174,9,No,2024-06-27,15000000,3791,44.17,Interior,R6A,C1-4,,,,,3.0,10464,287,2024-06-27,5.25
LIC,Queens,119,143,No,2024-06-26,6500000,60000,559.42,Interior,R6A,,,,,MIH,3.6,160358,41,2024-06-26,5.25
Williamsbridge,The Bronx,4613,1,No,2024-06-26,8000000,11783,273.93,Corner,C8-1,,,,,,1.0,11783,170,2024-06-26,5.25
Clinton Hill,Brooklyn,1966,41,No,2024-06-26,1675000,2500,25.0,Interior,R6B,,,,,,2.0,5000,335,2024-06-26,5.25
Flatiron District,Manhattan,816,22,No,2024-06-26,2000000,3605,25.0,Interior,C6-2M,,,,,,6.02,23433,341,2024-06-26,5.25
East New York,Brooklyn,4162,2,No,2024-06-25,1430000,6545,179.76,Corner,R7A ,C2-4,,,,MIH,4.6,30107,47,2024-06-25,5.25
Bedford-Stuyvesant,Brooklyn,1758,48,No,2024-06-25,1233370,2500,25.0,Interior,R7A ,C2-4,,,,VIH,3.45,8664,142,2024-06-25,5.25
Morrisania,The Bronx,2615,34,No,2024-06-20,3800000,15582,205.08,Corner,R6,C1-4,,,,,3.0,46746,81,2024-06-20,5.25
Williamsburg,Brooklyn,"3106, 3097","14, 27, 28, 29",Yes,2024-06-17,14980000,9375,100.0,Interior,R6,,,,,,2.2,21307,169,2024-06-17,5.25
Borough Park,Brooklyn,5437,86,No,2024-06-17,1520000,2003,20.0,Interior,R6,C2-3,,,,,3.0,6009,253,2024-06-17,5.25
East New York,Brooklyn,3749,"26, 27, 28, 31, 32, 33, 34, 35, 36",Yes,2024-06-17,3600000,29467,406.67,Corner,M1-4,,,,,,2.0,58934,254,2024-06-17,5.25
TriBeCa,Manhattan,210,"2, 1",Yes,2024-06-17,6500000,2680,103.17,Corner,C6-2A,,,,,,5.0,10036,648,2024-06-17,5.25
Washington Heights,Manhattan,2127,11,No,2024-06-14,1200000,2375,25.0,Interior,R7-2,,,,,,3.44,8170,147,2024-06-14,5.25
Harlem,Manhattan,1969,6,No,2024-06-11,25900000,19412,195.0,Through,R7A,,,,,,4.0,106922,242,2024-06-11,5.25
Concourse,The Bronx,2473,8,No,2024-06-10,2170000,8497,88.68,Interior,R8,,,,,,6.02,30489,71,2024-06-10,5.25
Concourse,The Bronx,2473,8,No,2024-06-10,2170000,8448,88.68,Interior,R8,,,,,,6.02,30489,71,2024-06-10,5.25
Flatbush,Brooklyn,5211,74,No,2024-06-07,8000000,10000,100.0,Interior,R6,,C2-4,,,,3.0,30000,133,2024-06-07,5.25
Elmhurst,Queens,2453,42,No,2024-06-07,3990000,10329,203.92,Corner,C4-2,,,,,,3.4,49336,162,2024-06-07,5.25
Pelham Bay,The Bronx,4248,1,No,2024-06-06,5000000,13570,239.25,Corner,R7-1,R5A,C2-4,,,,,52467,95,2024-06-06,5.25
Bushwick,Brooklyn,3466,30,No,2024-06-06,2852000,10000,200.0,Corner,C8-1,,,,,,1.0,10000,285,2024-06-06,5.25
Downtown Flushing,Queens,5046,4,No,2024-06-04,5000000,4810,75.91,Through,R7-1,,,,,,4.0,19240,260,2024-06-04,5.25
Sheepshead Bay,Brooklyn,7159,123,No,2024-06-03,2800000,11020,90.0,Interior,R4,,,, OP,,0.75,8265,339,2024-06-03,5.25
