,,PRICE,PRICE,PRICE,PPZFA,PPZFA,PPZFA,Rate
,,count,sum,mean,mean,median,std,mean
BOROUGH,NEIGHBORHOOD,,,,,,,
Brooklyn,Bath Beach,4,9870000,2467500.0,257.25,233.5,106.24,3.31
Brooklyn,Bay Ridge,9,55170000,6130000.0,276.11,291.0,80.8,2.89
Brooklyn,Bedford-Stuyvesant,44,202102475,4593238.07,223.5,217.5,83.22,2.12
Brooklyn,Bensonhurst,3,5991132,1997044.0,179.0,156.0,66.55,3.58
Brooklyn,Bergen Beach,1,5900000,5900000.0,151.0,151.0,,5.25
Brooklyn,Boerum Hill,8,45570000,5696250.0,280.5,319.0,118.09,2.59
Brooklyn,Borough Park,23,78723840,3422775.65,351.22,324.0,159.41,2.53
Brooklyn,Brighton Beach,6,18316000,3052666.67,164.67,175.5,45.75,2.33
Brooklyn,Brooklyn Heights,1,5933000,5933000.0,774.0,774.0,,0.25
Brooklyn,Brooklyn Navy Yard,1,1800000,1800000.0,220.0,220.0,,2.5
Brooklyn,Brownsville,7,23050000,3292857.14,115.86,109.0,60.96,2.46
Brooklyn,Bushwick,26,55431500,2131980.77,196.27,204.5,47.19,2.21
Brooklyn,Canarsie,3,10565000,3521666.67,100.33,101.0,43.0,1.92
Brooklyn,Carroll Gardens,2,5800000,2900000.0,495.5,495.5,270.82,2.75
Brooklyn,Clinton Hill,11,39873425,3624856.82,275.73,278.0,58.06,2.41
Brooklyn,Cobble Hill,6,32420000,5403333.33,314.17,319.0,124.79,3.62
Brooklyn,Columbia Street Waterfront District,1,4000000,4000000.0,310.0,310.0,,0.25
Brooklyn,Coney Island,4,10367500,2591875.0,148.25,134.5,30.58,4.12
Brooklyn,Crown Heights,17,102151046,6008885.06,201.41,204.0,61.33,2.26
Brooklyn,Cypress Hills,1,1275000,1275000.0,79.0,79.0,,2.5
Brooklyn,DUMBO,1,61500000,61500000.0,324.0,324.0,,0.25
Brooklyn,Ditmas Park,2,3682500,1841250.0,162.0,162.0,2.83,1.0
Brooklyn,Downtown Brooklyn,12,146460150,12205012.5,258.58,260.0,85.89,2.46
Brooklyn,Dyker Heights,4,26250000,6562500.0,349.5,293.0,182.24,3.31
Brooklyn,East Flatbush,9,48612250,5401361.11,116.44,108.0,28.84,2.28
Brooklyn,East New York,32,157986068,4937064.62,129.78,79.0,159.78,2.46
Brooklyn,East Williamsburg,3,80850000,26950000.0,228.67,224.0,53.15,3.0
Brooklyn,Flatbush,22,109383965,4971998.41,156.14,139.5,54.5,1.61
Brooklyn,Flatlands,2,5445898,2722949.0,230.0,230.0,16.97,2.38
Brooklyn,Fort Greene,7,135850514,19407216.29,232.14,243.0,125.87,3.04
Brooklyn,Gowanus,21,439601111,20933386.24,225.05,218.0,85.66,2.62
Brooklyn,Gravesend,11,56191200,5108290.91,235.82,176.0,128.9,2.82
Brooklyn,Greenpoint,30,158983037,5299434.57,283.67,299.5,82.28,1.48
Brooklyn,Greenwood Heights,9,303041700,33671300.0,356.44,259.0,315.77,2.17
Brooklyn,Homecrest,8,19747829,2468478.62,294.25,158.0,278.14,2.84
Brooklyn,Kensington,1,1900000,1900000.0,253.0,253.0,,0.25
Brooklyn,Madison,2,7500000,3750000.0,145.5,145.5,6.36,0.25
Brooklyn,Midwood,10,88054000,8805400.0,271.1,266.0,131.51,1.6
Brooklyn,Mill Basin,3,42980000,14326666.67,192.33,217.0,166.38,1.83
Brooklyn,New Lots,1,2300000,2300000.0,76.0,76.0,,5.0
Brooklyn,Ocean Hill,8,46517550,5814693.75,119.25,135.0,30.97,1.84
Brooklyn,Park Slope,8,191080000,23885000.0,303.88,313.5,66.78,0.88
Brooklyn,Prospect Heights,11,214232274,19475661.27,251.45,273.0,111.26,2.66
Brooklyn,Prospect Lefferts Gardens,4,19066407,4766601.75,143.25,174.0,83.76,3.12
Brooklyn,Prospect Park South,2,13850000,6925000.0,178.5,178.5,14.85,4.75
Brooklyn,Red Hook,16,319744256,19984016.0,256.0,260.5,81.86,2.33
Brooklyn,Ridgewood,1,1165000,1165000.0,265.0,265.0,,2.5
Brooklyn,Seagate,1,1200000,1200000.0,364.0,364.0,,5.25
Brooklyn,Sheepshead Bay,11,78984688,7180426.18,209.0,182.0,141.93,3.25
Brooklyn,South Slope,3,6570135,2190045.0,306.67,297.0,53.16,1.42
Brooklyn,Sunset Park,16,85031189,5314449.31,196.38,173.0,86.06,1.95
Brooklyn,Vinegar Hill,3,70279500,23426500.0,315.67,326.0,195.7,1.92
Brooklyn,Williamsburg,83,1136511811,13692913.39,354.8,358.0,131.85,2.6
Brooklyn,Windsor Terrace,3,78500000,26166666.67,251.67,240.0,61.34,3.58
Brooklyn,Wingate,2,5300000,2650000.0,120.5,120.5,3.54,2.62
Manhattan,Carnegie Hill,6,208200000,34700000.0,782.5,498.0,554.48,2.17
Manhattan,Central Harlem,9,171854308,19094923.11,198.44,190.0,60.67,1.64
Manhattan,Central Midtown,2,642655254,321327627.0,663.0,663.0,329.51,2.0
Manhattan,Chelsea,15,390847590,26056506.0,534.87,472.0,326.4,2.57
Manhattan,Chinatown,2,11205000,5602500.0,344.0,344.0,67.88,3.88
Manhattan,East Harlem,25,190523480,7620939.2,160.0,167.0,49.47,2.63
Manhattan,East Village,6,52150000,8691666.67,386.67,401.0,179.36,2.58
Manhattan,Financial District,4,66628358,16657089.5,237.5,226.0,39.61,3.25
Manhattan,Flatiron District,4,87850000,21962500.0,508.5,429.5,225.57,3.31
Manhattan,Fort George,1,3000000,3000000.0,197.0,197.0,,0.25
Manhattan,Garment District,2,23000000,11500000.0,328.5,328.5,6.36,2.75
Manhattan,Gramercy,1,72462854,72462854.0,897.0,897.0,,5.25
Manhattan,Gramercy Park,2,40500000,20250000.0,500.5,500.5,27.58,1.75
Manhattan,Greenwich Village,5,47400000,9480000.0,695.8,604.0,401.08,3.7
Manhattan,Hamilton Heights,1,3000000,3000000.0,151.0,151.0,,0.25
Manhattan,Harlem,4,55035782,13758945.5,168.0,186.0,77.96,5.25
Manhattan,Hell's Kitchen,11,215948020,19631638.18,458.73,452.0,143.45,2.52
Manhattan,Hudson Heights,1,6300000,6300000.0,76.0,76.0,,0.25
Manhattan,Hudson Yards,2,144000000,72000000.0,435.0,435.0,35.36,1.38
Manhattan,Inwood,10,136909142,13690914.2,132.2,124.5,54.03,1.4
Manhattan,Kips Bay,3,25295500,8431833.33,418.33,454.0,126.33,1.17
Manhattan,Lenox Hill,5,271505829,54301165.8,425.2,388.0,163.06,1.75
Manhattan,Lincoln Square,1,3650000,3650000.0,430.0,430.0,,0.25
Manhattan,Little Italy,2,27995258,13997629.0,387.0,387.0,67.88,1.12
Manhattan,Lower East Side,6,226830000,37805000.0,282.5,287.0,134.36,1.96
Manhattan,Lower West Side,1,8700000,8700000.0,532.0,532.0,,2.5
Manhattan,Manhattan Valley,1,32922500,32922500.0,317.0,317.0,,0.25
Manhattan,Manhattanville,4,63598350,15899587.5,209.0,227.5,100.58,2.56
Manhattan,Midtown,4,513500000,128375000.0,657.0,614.0,355.79,1.56
Manhattan,Midtown East,5,318318000,63663600.0,346.6,449.0,213.05,2.25
Manhattan,Midtown South,2,122200000,61100000.0,520.5,520.5,102.53,2.12
Manhattan,Murray Hill,1,12000000,12000000.0,341.0,341.0,,5.25
Manhattan,NoMad,1,20100000,20100000.0,320.0,320.0,,5.25
Manhattan,SoHo,5,81750000,16350000.0,770.8,660.0,319.29,2.3
Manhattan,Theater District,1,58890775,58890775.0,730.0,730.0,,3.75
Manhattan,Theatre District - Times Square,1,21000000,21000000.0,279.0,279.0,,5.25
Manhattan,Times Square,2,312800000,156400000.0,611.5,611.5,147.79,3.5
Manhattan,TriBeCa,1,6500000,6500000.0,648.0,648.0,,5.25
Manhattan,Turtle Bay,3,203494135,67831378.33,495.0,496.0,132.5,2.33
Manhattan,Two Bridges,4,113100000,28275000.0,297.75,287.5,49.84,3.31
Manhattan,Upper East SIde,2,53850000,26925000.0,649.0,649.0,142.84,2.5
Manhattan,Upper East Side,8,211092741,26386592.62,567.12,550.5,213.28,1.66
Manhattan,Upper East Side/Lenox Hill,2,82000000,41000000.0,545.5,545.5,84.15,2.5
Manhattan,Upper West Side,4,334186164,83546541.0,496.0,486.5,133.24,3.06
Manhattan,Washington Heights,6,45100000,7516666.67,135.0,127.0,24.83,2.33
Manhattan,Yorkville,5,109298851,21859770.2,461.0,344.0,237.15,4.35
Queens,Arverne,2,13350000,6675000.0,89.5,89.5,20.51,4.88
Queens,Astoria,24,78981500,3290895.83,254.0,250.5,61.58,2.67
Queens,Bayside,3,7860000,2620000.0,359.33,291.0,158.93,1.58
Queens,Briarwood,4,44620000,11155000.0,194.25,184.5,55.78,2.56
Queens,College Point,3,7435000,2478333.33,203.0,250.0,133.84,4.08
Queens,Corona,12,30245000,2520416.67,197.83,203.0,37.53,3.42
Queens,Ditmars Steinway,7,40019999,5717142.71,273.14,253.0,68.41,3.39
Queens,Downtown Flushing,11,54178000,4925272.73,291.82,260.0,183.44,2.95
